year,month,total,minimum,maximum
1926,11,23.80,0.00,12.40
1926,12,161.20,0.00,27.40
1927,1,428.30,0.00,127.00
1927,2,788.60,0.00,276.90
1927,3,186.40,0.00,54.10
1927,4,283.80,0.00,152.40
1927,5,46.80,0.00,12.70
1927,6,53.80,0.00,22.10
1927,7,72.20,0.00,22.90
1927,8,0.00,0.00,0.00
1927,9,35.30,0.00,12.70
1927,10,52.30,0.00,20.30
1927,11,8.70,0.00,6.90
1927,12,92.60,0.00,25.90
1928,1,101.40,0.00,45.70
1928,2,407.60,0.00,91.40
1928,3,461.20,0.00,256.50
1928,4,47.30,0.00,31.00
1928,5,65.70,0.00,20.60
1928,6,19.30,0.00,17.30
1928,7,55.90,0.00,14.70
1928,8,14.00,0.00,8.90
1928,9,0.00,0.00,0.00
1928,10,9.90,0.00,7.90
1928,11,221.40,0.00,83.80
1928,12,65.90,0.00,28.40
1929,1,632.70,0.00,215.10
1929,2,811.30,0.00,286.00
1929,3,243.50,0.00,58.20
1929,4,85.40,0.00,41.10
1929,5,28.70,0.00,26.20
1929,6,36.00,0.00,18.50
1929,7,24.40,0.00,12.20
1929,8,20.30,0.00,8.60
1929,9,35.50,0.00,9.10
1929,10,0.00,0.00,0.00
1929,11,60.30,0.00,42.40
1929,12,90.50,0.00,32.30
1930,1,1192.40,0.00,277.90
1930,2,320.80,0.00,128.30
1930,3,197.70,0.00,95.30
1930,4,32.80,0.00,8.10
1930,5,177.70,0.00,45.70
1930,6,46.00,0.00,16.80
1930,7,64.20,0.00,15.70
1930,8,9.20,0.00,3.60
1930,9,25.40,0.00,20.80
1930,10,366.10,0.00,172.70
1930,11,29.00,0.00,10.70
1930,12,159.10,0.00,61.00
1931,1,413.20,0.00,249.40
1931,2,133.10,0.00,96.00
1931,3,163.30,0.00,37.60
1931,4,303.60,0.00,134.60
1931,5,110.70,0.00,53.10
1931,6,163.40,0.00,44.50
1931,7,44.20,0.00,15.20
1931,8,33.60,0.00,9.70
1931,9,21.10,0.00,12.20
1931,10,131.00,0.00,62.20
1931,11,85.40,0.00,53.10
1931,12,327.40,0.00,131.60
1932,1,755.60,0.00,332.20
1932,2,121.00,0.00,37.10
1932,3,360.00,0.00,95.00
1932,4,10.90,0.00,4.60
1932,5,322.80,0.00,47.80
1932,6,42.60,0.00,34.00
1932,7,52.90,0.00,14.00
1932,8,81.80,0.00,31.00
1932,9,8.40,0.00,5.60
1932,10,4.30,0.00,2.30
1932,12,319.50,0.00,163.30
1933,1,155.60,0.00,47.00
1933,2,709.60,0.00,208.80
1933,3,272.80,0.00,140.50
1933,4,545.40,0.00,111.30
1933,5,98.60,0.00,29.70
1933,6,146.10,0.00,34.30
1933,7,18.80,0.00,13.20
1933,8,101.30,0.00,30.00
1933,9,52.00,0.00,18.30
1933,10,39.40,0.00,14.70
1933,11,211.50,0.00,68.60
1933,12,232.80,0.00,86.60
1934,1,679.40,0.00,122.40
1934,2,665.90,0.00,170.40
1934,3,702.10,0.00,310.90
1934,4,258.40,0.00,57.40
